event,location,latitude,longitude,event_type
"6 – Clarence Chamberlin and Charles Albert Levine take off from Roosevelt Field, New York, and fly to Eisleben, Germany, in the Wright-Bellanca WB-2 Columbia aircraft Miss Columbia , two weeks after Charles Lindbergh's historic solo flight.","Roosevelt Field, New York, Eisleben, Germany",PARSE_ERROR,PARSE_ERROR,none
"The Soviet Union executes 20 people for alleged espionage in retaliation for the assassination two days earlier of Pyotr Voykov , the Soviet ambassador to Poland, at the railway station in Warsaw . Voykov had been shot by 19-year-old Boris Kowerda, an exiled Russian, in retaliation for having signed the death warrants in 1918 for Tsar Nicholas II and the Russian Imperial Family.","Warsaw, Poland",52.22,21.01,none
Spanish airline Iberia is established.,Spain,40.4,-3.7,none
"Solar eclipse of June 29, 1927 : A total eclipse of the sun takes place over Wales, northern England, southern Scotland, Norway, northern Sweden, northmost Finland, and the northmost extremes of Russia.","Wales, northern England, southern Scotland, Norway, northern Sweden, northmost Finland, and the northmost extremes of Russia",PARSE_ERROR,PARSE_ERROR,none
"July 1 – Commander Richard E. Byrd , Bernt Balchen , George Noville and Bert Acosta take off from Roosevelt Field, New York, in the Fokker Trimotor airplane America , and cross the Atlantic to the coast of France, having to ditch there because of bad weather; all four men survive the emergency landing.","Roosevelt Field, New York",40.7,-73.8,none
"The Food, Drug, and Insecticide Administration (FDIA) is established as a United States federal agency.",United States,38.9,-77.0,none
"Timothy Coughlan , Bill Gannon and Archie Doyle , members of the anti- Treaty Irish Republican Army , shoot dead Kevin O'Higgins , Vice-President of the Executive Council of the Irish Free State and Minister for Justice , as O'Higgins is walking to Mass in Dublin .","Dublin, Ireland",53.3,-6.2,terrorist act
"The 1927 Jericho earthquake strikes Palestine , killing around 300 people; it is the largest ever recorded in this part of the Middle East. The effects are especially severe in Nablus , but damage and fatalities are also reported in many areas of Palestine and Transjordan , such as Amman , Salt, Jordan , and Lydda .",Palestine,32.0,35.5,cataclysm or fire
"July Revolt of 1927 : After police in Vienna fire on an angry crowd, 85 protesters (mostly members of the Social Democratic Party of Austria ) and 5 policemen are left dead; more than 600 people are injured.","Vienna, Austria",48.2,16.4,revolution or coup
"The Menin Gate is dedicated as a war memorial at Ypres , Belgium.","Ypres, Belgium",50.983,2.972,war
"The Communist Chinese People's Liberation Army is formed, during the Nanchang Uprising .","Nanchang, China",28.68,115.82,revolution or coup
American electrical engineer Harold Stephen Black invents the negative-feedback amplifier .,United States,37.0,-95.0,none
"The Peace Bridge opens between Fort Erie, Ontario , and Buffalo, New York .","Fort Erie, Ontario, Buffalo, New York",PARSE_ERROR,PARSE_ERROR,none
The Mount Rushmore Park is rededicated in the United States. President Calvin Coolidge promises national funding for the proposed carving of the presidential figures.,United States,44.0,-103.0,none
"200 people demonstrate in Hyde Park, London , against the death sentences on Italian American anarchists Sacco and Vanzetti . Other protests are held across the world at this time.","Hyde Park, London",51.5,-0.2,revolution or coup
"25 – The 1927 Nova Scotia hurricane hits the Atlantic Provinces of Canada, causing massive damage and at least 56 deaths.","Atlantic Provinces, Canada",45.0,-63.0,cataclysm or fire
"Paul Redfern leaves Brunswick, Georgia , flying his Stinson Detroiter ""Port of Brunswick"", to attempt a solo nonstop flight to Rio de Janeiro , Brazil. He later crashes in the Venezuelan jungle, but the crash site is never found.","Brunswick, Georgia, Rio de Janeiro, Brazil, Venezuelan jungle",PARSE_ERROR,PARSE_ERROR,none
The first fully electronic television system is achieved by Philo Farnsworth .,,,,none
"The Columbia Phonographic Broadcasting System (later known as CBS ) is formed in the United States, and goes on the air with 47 radio stations .",United States,37.0,-95.0,none
A treaty signed by the League of Nations Slavery Commission abolishes all types of slavery .,,,,none
"The East St. Louis Tornado kills 79 people and injures 550, the 2nd costliest and at least 24th deadliest tornado in U.S. history.","East St. Louis, United States",38.7,-90.2,cataclysm or fire
"Carving of the sculptures at Mount Rushmore , South Dakota , begins.","Mount Rushmore, South Dakota",44.1,-103.5,none
"The Jazz Singer , starring Al Jolson , premieres at the Warner Theater in New York City. Although not the first sound film , and containing very little recorded speech, it is the first to become a box-office hit, popularizing ""talkies"" (although silent films continue to be made for some time).","New York City, United States",40.7,-74.0,none
The Mexican government crushes a rebellion in Veracruz .,Veracruz,19.0,-96.8,revolution or coup
"The first flight of Pan American Airways takes off from Key West, Florida , bound for Havana, Cuba .","Key West, Florida",24.5,-81.8,none
"The Italian ocean liner Principessa Mafalda capsizes off Porto Seguro , Brazil; at least 314 people are killed.","Porto Seguro, Brazil",-12.5,-38.5,cataclysm or fire
İsmet İnönü forms a new government in Turkey (the 5th government).,Turkey,41.0,28.0,revolution or coup
"4 – Great Vermont Flood of 1927 : Floods devastating Vermont cause the ""worst natural disaster in the state's history"".",Vermont,44.0,-72.5,cataclysm or fire
"Frank Heath and his horse Gypsy Queen return to Washington, D.C., having completed a two-year journey of 11,356 miles to all 48 of the states of the U.S. (of this time).","Washington, D.C., United States",38.9,-77.0,none
"Pittsburgh gasometer explosion : Three Equitable Gas storage tanks in the North Side of Pittsburgh explode, killing 26 people and causing damage estimated between $4.0 million and $5.0 million.",Pittsburgh,40.445,-79.998,cataclysm or fire
"The Columbine Mine massacre : Colorado state police open fire on 500 rowdy but unarmed miners during a strike, killing 6.","Colorado, United States",39.0,-105.0,cataclysm or fire
Chiang Kai-shek marries Soong Mei-ling in Shanghai .,Shanghai,31.2,121.4,none
"Following 19 years of Ford Model T production, the Ford Motor Company unveils the Ford Model A as its new automobile in the United States.",United States,37.0,-95.0,none
"Putting Pants on Philip , the first Laurel and Hardy film, is released.",,,,none
"Gamma Sigma Fraternity becomes the first high school fraternity to become international with Alpha Zeta chapter in Niagara Falls, Ontario, Canada.","Niagara Falls, Ontario, Canada",43.07,-79.04,none
Iraq gains independence from the United Kingdom.,Iraq,33.2,44.0,none
"Marion Parker , 12, is kidnapped in Los Angeles. Her dismembered body is found on December 19 , prompting the largest manhunt to date on the West Coast for her killer, William Edward Hickman , who is arrested on December 22 in Oregon .","Los Angeles, United States",34.05,-118.25,none
"Three members of the revolutionary movement for Indian independence – Pandit Ram Prasad Bismil , Thakur Roshan Singh and Ashfaqulla Khan – are executed by the British Raj . Rajendra Nath Lahiri had been executed two days before.",India,20.0,78.0,revolution or coup
Letalski center Maribor is established in Maribor ; it will be the oldest surviving operating major flying club in the Balkans .,Maribor,46.05,15.6667,none
"Kern and Hammerstein's musical play, Show Boat , based on Edna Ferber's novel , opens on Broadway and then goes on to become the first great classic of the American musical theater.","New York City, United States",40.7,-74.0,none
"Eruption of the Perboewatan and Danan undersea volcanoes near Krakatoa , create the foundation for Anak Krakatau Island.",Krakatoa,-6.15,105.45,none
"The first Asian commuter metro line , the Tokyo Metro Ginza Line , opens in Japan .","Tokyo, Japan",35.7,139.7,none
"Eastern Bloc emigration and defection : Boris Bazhanov , Joseph Stalin 's personal secretary, crosses the border to Iran to defect from the Soviet Union .",Soviet Union,56.0,39.0,revolution or coup
The OGPU arrests Leon Trotsky in Moscow; he assumes a status of passive resistance and is exiled with his family.,"Moscow, Russia",55.75,37.61,revolution or coup
The volcanic island Anak Krakatau appears.,Anak Krakatau,2.8667,105.4667,none
"Scottish-born inventor John Logie Baird broadcasts a transatlantic television signal from London to Hartsdale, New York .","London, Hartsdale, New York",PARSE_ERROR,PARSE_ERROR,none
"19 – The 1928 Winter Olympics are held in St. Moritz , Switzerland, the first as a separate event. Sonja Henie of Norway wins her first gold medal , in women's figure skating .","St. Moritz, Switzerland",46.9,8.2,none
The Japanese general election produces a hung parliament.,Japan,35.7,139.7,none
"Charles Jenkins Laboratories of Washington, D.C., becomes the first holder of a television license from the Federal Radio Commission .","Washington, D.C., United States",38.9,-77.0,none
Charles Lindbergh is presented with the Medal of Honor for his first transatlantic flight .,United States,38.9,-77.0,none
The Muslim Brotherhood is founded in Egypt by Islamic scholar and schoolteacher Hassan al-Banna .,Egypt,30.0,31.0,religious reform
Excavation work begins after the old Canaanite city of Ugarit is accidentally rediscovered.,Ugarit,35.8,35.6,none
"Pineapple Primary : The United States Republican Party primary elections in Chicago are preceded by violence, bombings and assassination attempts (two politicians are killed, Octavius C. Granady and Giuseppe Esposito).",Chicago,41.8781,-87.6298,terrorist act
A bomb attack against Italian Fascist leader Benito Mussolini in Milan kills 17 bystanders.,"Milan, Italy",45.5,9.1,terrorist act
"The West Plains, Missouri Dance Hall explosion occurs.","West Plains, Missouri",37.0,-93.0,cataclysm or fire
"14 – The first east–west transatlantic flight by aeroplane takes place from Dublin , Ireland, to Greenly Island, Canada , using the German Junkers W 33 Bremen .","Dublin, Ireland",53.3,-6.2,none
"An earthquake occurs in Chirpan , Bulgaria , followed four days later by another in Plovdiv . Between them, they destroy more than 21,000 buildings, and kill almost 130 people.","Chirpan, Bulgaria",43.1333,25.3833,cataclysm or fire
"Publication of the original Oxford English Dictionary is completed after 70 years with issue of the last section (""wise – wyze"") in Oxford .","Oxford, United Kingdom",51.8,-1.3,none
"An Ms 6.0 earthquake affects southern Greece with a maximum Mercalli intensity of IX ( Violent ), leaving 20 dead, and destroying 3,000 homes in Corinth ; a non-destructive tsunami is also observed.",Greece,38.0,22.0,cataclysm or fire
"28 inches of snow fall in southern-central Pennsylvania, United States.","southern-central Pennsylvania, United States",40.3,-76.9,none
"Jinan incident : An armed conflict between the Imperial Japanese Army (allied with Northern Chinese warlords) and the Kuomintang 's southern army occurs in Jinan , China.","Jinan, China",36.6,117.0,war
